epoch,training_acc,training_loss,L2
1,3.66,1796.02,856.0
2,4.47,1789.52,872.0
3,5.18,1786.88,885.0
4,5.62,1785.11,896.0
5,5.83,1784.17,906.0
6,6.03,1782.81,915.0
7,6.59,1782.16,924.0
8,6.59,1781.12,933.0
9,6.9,1780.09,942.0
10,6.89,1778.55,951.0
11,7.43,1777.03,960.0
12,7.41,1775.53,969.0
13,8.12,1774.75,978.0
14,8.32,1773.74,987.0
15,8.02,1771.77,997.0
16,8.38,1769.88,1007.0
17,8.89,1769.31,1016.0
18,8.64,1768.13,1024.0
19,9.37,1766.7,1032.0
20,9.75,1765.5,1040.0
21,9.78,1764.41,1049.0
22,9.78,1763.38,1057.0
23,9.98,1762.15,1065.0
24,10.35,1761.48,1074.0
25,10.52,1760.05,1082.0
26,10.33,1759.11,1091.0
27,10.66,1757.67,1099.0
28,10.77,1757.25,1108.0
29,10.79,1756.0,1115.0
30,11.2,1754.77,1123.0
31,11.13,1754.01,1132.0
32,11.28,1752.83,1140.0
33,11.48,1752.14,1149.0
34,11.64,1751.17,1157.0
35,11.55,1749.99,1165.0
36,11.54,1749.12,1173.0
37,11.73,1747.86,1181.0
38,11.82,1747.69,1188.0
39,11.98,1746.48,1197.0
40,11.91,1745.27,1205.0
41,12.06,1744.41,1213.0
42,12.21,1743.91,1221.0
43,12.13,1742.63,1229.0
44,12.41,1742.08,1236.0
45,12.17,1741.07,1244.0
46,12.58,1740.56,1252.0
47,12.45,1739.4,1260.0
48,12.53,1738.54,1268.0
49,12.55,1738.39,1275.0
50,12.24,1736.86,1282.0
51,12.84,1736.82,1290.0
52,12.68,1735.61,1298.0
53,12.57,1735.16,1305.0
54,12.72,1734.0,1312.0
55,12.58,1733.58,1319.0
56,12.89,1732.79,1327.0
57,12.7,1732.26,1334.0
58,12.77,1731.49,1340.0
59,12.59,1730.46,1347.0
60,12.68,1730.31,1355.0
61,12.85,1730.07,1362.0
62,12.96,1729.12,1370.0
63,12.93,1728.87,1377.0
64,13.22,1727.59,1383.0
65,13.12,1726.64,1390.0
66,12.95,1726.14,1397.0
67,13.06,1725.7,1404.0
68,12.75,1724.93,1411.0
69,13.26,1724.28,1417.0
70,13.57,1723.6,1424.0
71,13.42,1722.81,1430.0
72,13.22,1722.24,1437.0
73,13.42,1721.64,1443.0
74,13.67,1721.47,1450.0
75,13.48,1720.63,1456.0
76,13.65,1719.94,1463.0
77,13.66,1718.99,1469.0
78,13.87,1718.89,1476.0
79,13.58,1718.67,1482.0
80,13.86,1717.65,1488.0
81,13.72,1717.06,1494.0
82,13.39,1717.21,1501.0
83,13.84,1716.21,1507.0
84,13.94,1716.22,1513.0
85,14.18,1715.63,1519.0
86,13.83,1715.07,1524.0
87,13.91,1714.78,1531.0
88,14.04,1714.12,1537.0
89,14.08,1713.6,1542.0
90,13.97,1713.97,1548.0
91,14.15,1713.44,1555.0
92,14.0,1712.1,1560.0
93,13.77,1712.01,1566.0
94,13.97,1711.81,1572.0
95,14.08,1712.01,1579.0
96,14.08,1711.03,1584.0
97,14.19,1710.78,1590.0
98,14.37,1710.35,1596.0
99,14.25,1710.25,1602.0
