epoch,training_acc,training_loss,L2
1,37.81,844.42,853.0
2,43.74,803.99,893.0
3,47.34,785.12,925.0
4,48.75,772.53,959.0
5,52.94,758.87,992.0
6,55.4,746.97,1024.0
7,56.97,736.09,1055.0
8,57.23,727.06,1085.0
9,59.46,719.19,1114.0
10,61.85,710.58,1144.0
11,61.35,703.71,1174.0
12,62.27,697.14,1204.0
13,64.45,690.1,1234.0
14,65.11,683.51,1263.0
15,64.91,677.73,1293.0
16,65.82,671.77,1323.0
17,66.94,666.45,1351.0
18,66.44,661.1,1379.0
19,66.27,656.21,1407.0
20,67.83,650.86,1434.0
21,67.89,646.83,1462.0
22,68.03,642.95,1488.0
23,68.04,640.24,1514.0
24,68.3,635.99,1538.0
25,67.65,633.44,1563.0
26,68.04,630.21,1585.0
27,68.37,627.9,1607.0
28,68.38,626.53,1630.0
29,69.62,623.58,1650.0
30,69.41,622.06,1673.0
31,69.79,620.37,1693.0
32,69.27,619.37,1714.0
33,69.48,618.43,1736.0
34,69.37,617.05,1756.0
35,69.26,615.87,1777.0
36,68.84,615.42,1797.0
37,69.28,613.88,1817.0
38,70.06,613.4,1836.0
39,70.39,612.28,1854.0
40,69.77,611.46,1873.0
41,70.0,611.69,1895.0
42,70.63,611.1,1916.0
43,70.01,609.64,1935.0
44,70.44,609.16,1955.0
45,69.84,608.46,1974.0
46,69.75,608.27,1993.0
47,70.5,607.5,2013.0
48,70.79,606.12,2029.0
49,70.34,606.28,2048.0
50,70.41,605.54,2065.0
51,69.72,605.35,2083.0
52,69.86,605.23,2102.0
53,70.75,604.69,2122.0
54,70.08,604.32,2142.0
55,70.16,603.8,2159.0
56,70.24,603.79,2178.0
57,70.67,602.88,2195.0
58,70.07,602.93,2214.0
59,70.76,602.86,2232.0
60,71.42,601.82,2248.0
61,71.12,602.13,2268.0
62,70.15,601.52,2285.0
63,70.77,601.71,2305.0
64,70.36,601.18,2321.0
65,71.17,600.83,2339.0
66,70.55,600.91,2357.0
67,71.0,599.81,2371.0
68,70.69,599.81,2388.0
69,69.71,600.87,2410.0
70,70.28,600.28,2428.0
71,70.59,599.95,2445.0
72,70.34,600.03,2466.0
73,70.57,599.11,2481.0
74,71.07,598.79,2497.0
75,71.27,598.65,2512.0
76,71.06,598.68,2530.0
77,71.08,599.38,2552.0
78,71.0,598.08,2567.0
79,71.16,598.05,2583.0
80,71.61,597.65,2596.0
81,70.99,598.58,2616.0
82,71.51,597.21,2630.0
83,70.48,597.24,2645.0
84,70.69,597.74,2664.0
85,71.29,597.01,2680.0
86,71.19,597.11,2697.0
87,71.56,596.94,2714.0
88,70.42,596.39,2730.0
89,70.96,596.75,2750.0
90,70.78,596.27,2766.0
91,71.5,596.41,2783.0
92,70.85,595.53,2798.0
93,71.95,595.82,2813.0
94,70.41,596.35,2833.0
95,71.66,596.24,2851.0
96,71.05,595.28,2866.0
97,70.27,595.55,2882.0
98,71.37,595.88,2899.0
99,70.82,595.05,2915.0
