epoch,training_acc,training_loss,L2
1,35.65,845.23,855.0
2,42.54,805.73,899.0
3,46.55,786.05,934.0
4,49.42,770.86,968.0
5,51.13,760.65,998.0
6,54.68,750.96,1029.0
7,55.96,741.37,1060.0
8,57.16,731.98,1091.0
9,59.72,724.12,1122.0
10,60.99,717.58,1153.0
11,61.75,709.24,1185.0
12,62.39,701.28,1216.0
13,63.47,694.26,1247.0
14,65.15,689.14,1279.0
15,65.22,681.23,1310.0
16,65.51,676.23,1341.0
17,66.62,669.02,1371.0
18,67.17,664.85,1403.0
19,66.26,658.57,1431.0
20,67.96,652.91,1460.0
21,67.72,648.25,1488.0
22,68.34,644.75,1516.0
23,68.95,640.22,1542.0
24,69.11,636.21,1568.0
25,69.79,633.0,1592.0
26,69.17,629.43,1614.0
27,69.8,628.06,1638.0
28,70.22,625.13,1662.0
29,69.4,624.17,1685.0
30,69.75,621.8,1708.0
31,70.55,619.6,1729.0
32,70.49,617.59,1749.0
33,69.48,617.03,1771.0
34,70.61,615.62,1791.0
35,70.12,614.67,1813.0
36,70.38,613.37,1833.0
37,70.37,612.67,1853.0
38,69.72,612.22,1874.0
39,70.44,611.4,1895.0
40,70.91,610.02,1915.0
41,70.81,609.06,1934.0
42,70.94,607.98,1951.0
43,70.85,607.67,1970.0
44,70.75,607.42,1990.0
45,70.65,606.61,2010.0
46,69.99,606.74,2031.0
47,70.35,606.08,2052.0
48,70.73,605.52,2071.0
49,69.84,604.65,2088.0
50,71.11,604.11,2106.0
51,70.69,604.41,2127.0
52,71.04,604.24,2146.0
53,70.53,603.77,2166.0
54,70.62,602.99,2184.0
55,71.16,602.3,2202.0
56,71.47,601.77,2218.0
57,70.99,601.9,2237.0
58,71.51,600.77,2252.0
59,70.75,600.69,2270.0
60,71.45,601.26,2292.0
61,71.46,601.08,2312.0
62,72.22,599.51,2327.0
63,71.76,599.7,2346.0
64,71.45,599.96,2364.0
65,71.47,600.19,2386.0
66,71.54,599.91,2405.0
67,72.23,598.36,2419.0
68,71.85,598.44,2436.0
69,71.72,598.47,2455.0
70,71.65,598.38,2471.0
71,70.87,597.66,2486.0
72,71.36,598.63,2507.0
73,71.49,598.01,2525.0
74,71.29,597.35,2543.0
75,72.44,597.84,2562.0
76,71.18,597.3,2578.0
77,71.65,596.56,2592.0
78,70.98,597.05,2610.0
79,71.94,596.94,2631.0
80,72.13,596.73,2650.0
81,71.66,596.09,2667.0
82,71.96,596.66,2686.0
83,71.96,596.36,2704.0
84,72.04,596.2,2723.0
85,71.82,595.22,2737.0
86,71.44,595.18,2752.0
87,70.74,595.12,2769.0
88,71.57,596.02,2788.0
89,72.18,595.65,2806.0
90,71.8,594.69,2822.0
91,71.59,594.57,2838.0
92,71.62,595.33,2857.0
93,72.02,595.8,2880.0
94,71.5,593.72,2892.0
95,71.83,594.01,2907.0
96,71.8,594.14,2925.0
97,71.21,594.12,2942.0
98,71.77,593.95,2958.0
99,72.12,593.59,2974.0
