epoch,training_acc,training_loss,L2
1,34.51,852.2,850.0
2,40.6,813.88,890.0
3,44.66,794.74,923.0
4,46.2,781.87,953.0
5,49.16,771.56,984.0
6,52.89,761.31,1015.0
7,54.35,752.3,1046.0
8,56.42,743.56,1076.0
9,57.17,734.66,1107.0
10,59.19,726.9,1135.0
11,59.49,720.04,1165.0
12,61.38,712.32,1196.0
13,61.22,707.14,1226.0
14,62.32,699.95,1256.0
15,64.41,693.54,1286.0
16,65.37,687.54,1315.0
17,65.33,681.72,1346.0
18,65.45,676.09,1375.0
19,65.04,671.6,1405.0
20,66.68,666.2,1434.0
21,66.78,662.18,1462.0
22,67.39,656.27,1489.0
23,68.4,652.07,1516.0
24,67.84,647.97,1542.0
25,67.51,644.12,1568.0
26,69.08,640.0,1593.0
27,69.07,638.44,1617.0
28,69.01,634.67,1641.0
29,69.49,632.07,1663.0
30,69.44,629.96,1686.0
31,68.91,628.97,1709.0
32,68.98,627.02,1731.0
33,69.74,624.32,1751.0
34,69.74,623.0,1772.0
35,69.97,621.41,1793.0
36,69.62,620.09,1814.0
37,70.1,619.33,1836.0
38,70.33,617.89,1855.0
39,69.69,615.83,1872.0
40,69.97,615.65,1891.0
41,70.95,615.05,1912.0
42,70.36,614.68,1933.0
43,70.54,613.91,1952.0
44,70.21,612.9,1971.0
45,70.18,612.81,1991.0
46,71.29,612.07,2011.0
47,69.95,610.88,2029.0
48,69.91,610.94,2049.0
49,70.59,609.77,2067.0
50,70.48,609.15,2085.0
51,70.8,608.57,2103.0
52,70.88,607.68,2120.0
53,70.92,606.99,2137.0
54,68.5,606.98,2155.0
55,70.31,607.6,2176.0
56,69.42,606.38,2193.0
57,70.32,606.23,2213.0
58,70.17,605.28,2231.0
59,70.97,604.45,2246.0
60,71.71,604.16,2263.0
61,71.05,604.29,2282.0
62,70.94,603.25,2297.0
63,70.92,604.02,2317.0
64,71.22,604.02,2337.0
65,71.47,603.03,2353.0
66,71.16,603.03,2371.0
67,71.24,603.39,2393.0
68,70.87,602.1,2408.0
69,71.41,601.9,2424.0
70,71.3,601.76,2442.0
71,71.02,601.71,2460.0
72,71.36,601.3,2476.0
73,71.6,600.58,2491.0
74,70.87,600.45,2507.0
75,70.89,601.73,2529.0
76,71.28,600.92,2548.0
77,72.18,600.33,2564.0
78,71.69,599.25,2576.0
79,71.56,599.21,2589.0
80,70.96,599.72,2606.0
81,70.89,600.05,2627.0
82,71.25,599.69,2643.0
83,70.57,599.62,2662.0
84,70.81,599.24,2681.0
85,71.6,598.28,2693.0
86,71.4,598.3,2708.0
87,71.45,599.28,2728.0
88,71.99,598.03,2742.0
89,71.47,597.78,2755.0
90,72.06,598.54,2774.0
91,71.18,598.63,2795.0
92,71.9,598.12,2811.0
93,71.35,599.02,2831.0
94,71.66,597.82,2848.0
95,71.1,597.37,2861.0
96,71.68,597.54,2879.0
97,72.26,597.44,2896.0
98,71.82,597.08,2912.0
99,71.43,596.73,2926.0
