epoch,training_acc,training_loss,L2
1,4.68,1794.52,858.0
2,5.86,1785.45,873.0
3,6.29,1781.67,888.0
4,7.79,1778.24,900.0
5,8.33,1775.06,911.0
6,8.82,1771.8,922.0
7,9.2,1769.83,934.0
8,9.52,1766.99,945.0
9,10.04,1763.46,955.0
10,10.99,1761.88,966.0
11,11.23,1759.89,976.0
12,12.03,1757.62,986.0
13,12.21,1755.96,997.0
14,12.88,1753.33,1006.0
15,12.29,1752.61,1016.0
16,12.9,1751.08,1025.0
17,13.55,1749.14,1034.0
18,13.44,1747.15,1043.0
19,14.09,1746.02,1050.0
20,14.08,1744.15,1059.0
21,14.05,1743.25,1067.0
22,14.69,1741.9,1076.0
23,14.97,1739.46,1084.0
24,14.89,1738.23,1093.0
25,15.01,1736.69,1101.0
26,15.49,1734.72,1109.0
27,15.95,1733.28,1117.0
28,15.85,1731.73,1125.0
29,16.04,1729.7,1133.0
30,16.06,1728.42,1141.0
31,16.74,1726.53,1149.0
32,16.8,1725.26,1157.0
33,16.56,1723.97,1165.0
34,16.95,1722.44,1173.0
35,16.91,1720.66,1180.0
36,17.34,1719.74,1188.0
37,17.42,1718.49,1196.0
38,17.11,1716.79,1203.0
39,17.54,1716.14,1212.0
40,17.63,1714.38,1219.0
41,17.99,1713.23,1227.0
42,17.79,1711.97,1234.0
43,17.92,1710.93,1241.0
44,18.04,1709.66,1249.0
45,17.93,1708.48,1256.0
46,18.31,1706.89,1263.0
47,18.45,1705.82,1270.0
48,18.23,1705.89,1277.0
49,18.2,1703.92,1284.0
50,18.22,1702.44,1291.0
51,18.86,1702.22,1298.0
52,18.5,1700.32,1305.0
53,18.54,1699.52,1313.0
54,18.81,1697.87,1319.0
55,18.77,1696.81,1326.0
56,18.94,1695.2,1332.0
57,18.57,1694.93,1339.0
58,18.78,1694.33,1346.0
59,19.25,1693.46,1353.0
60,19.19,1692.31,1360.0
61,19.33,1690.99,1366.0
62,18.94,1690.51,1373.0
63,19.47,1688.89,1379.0
64,19.47,1688.2,1385.0
65,19.27,1687.22,1391.0
66,18.92,1686.63,1398.0
67,19.35,1686.92,1405.0
68,19.58,1684.88,1411.0
69,19.53,1684.89,1417.0
70,19.5,1684.39,1424.0
71,19.78,1682.9,1429.0
72,19.78,1681.91,1436.0
73,19.59,1680.85,1441.0
74,19.36,1681.38,1448.0
75,19.28,1680.98,1454.0
76,19.75,1679.91,1460.0
77,19.22,1680.07,1467.0
78,19.43,1679.53,1473.0
79,20.07,1678.37,1479.0
80,19.66,1677.6,1484.0
81,19.7,1677.71,1490.0
82,19.73,1677.07,1496.0
83,20.35,1676.42,1502.0
84,19.91,1676.1,1508.0
85,19.93,1675.54,1514.0
86,19.83,1675.28,1520.0
87,20.17,1674.5,1526.0
88,20.11,1673.25,1531.0
89,19.96,1673.36,1536.0
90,19.84,1672.95,1542.0
91,20.06,1673.32,1548.0
92,20.06,1672.66,1554.0
93,19.93,1671.65,1559.0
94,20.49,1671.48,1564.0
95,20.02,1671.09,1571.0
96,19.87,1670.95,1577.0
97,20.21,1670.52,1583.0
98,20.31,1670.31,1589.0
99,20.36,1669.64,1594.0
