epoch,training_acc,training_loss,L2
1,3.85,1795.8,858.0
2,5.2,1790.87,872.0
3,5.56,1788.04,882.0
4,6.59,1786.27,894.0
5,6.72,1784.64,903.0
6,8.07,1783.13,913.0
7,7.9,1781.7,922.0
8,8.74,1780.32,931.0
9,8.37,1778.74,940.0
10,9.16,1777.92,948.0
11,9.52,1776.65,956.0
12,9.62,1775.47,964.0
13,9.97,1775.33,972.0
14,10.19,1773.91,980.0
15,7.6,1773.21,988.0
16,9.71,1772.24,996.0
17,11.05,1771.21,1004.0
18,10.91,1770.16,1011.0
19,11.07,1769.59,1019.0
20,11.52,1768.3,1027.0
21,11.46,1767.28,1034.0
22,11.96,1766.76,1042.0
23,11.84,1765.83,1050.0
24,12.3,1764.68,1057.0
25,11.69,1764.09,1065.0
26,12.31,1762.96,1073.0
27,13.02,1762.05,1080.0
28,12.85,1761.33,1088.0
29,12.87,1760.44,1095.0
30,12.48,1759.57,1103.0
31,13.49,1758.64,1111.0
32,12.87,1757.86,1118.0
33,13.38,1756.91,1126.0
34,13.08,1755.89,1134.0
35,13.32,1755.0,1141.0
36,12.37,1753.95,1149.0
37,13.25,1753.42,1157.0
38,13.95,1752.54,1165.0
39,14.2,1751.41,1172.0
40,14.1,1750.55,1180.0
41,14.56,1749.55,1187.0
42,14.46,1748.15,1195.0
43,14.06,1747.51,1202.0
44,13.84,1746.36,1210.0
45,14.31,1745.61,1217.0
46,14.59,1745.07,1224.0
47,14.97,1744.07,1232.0
48,14.62,1743.46,1240.0
49,14.29,1742.54,1247.0
50,15.33,1741.65,1254.0
51,15.06,1740.85,1262.0
52,15.44,1739.98,1269.0
53,15.21,1739.14,1276.0
54,15.27,1738.58,1283.0
55,15.37,1738.1,1290.0
56,15.58,1737.08,1297.0
57,15.39,1736.15,1304.0
58,15.96,1735.85,1310.0
59,15.77,1735.27,1317.0
60,15.54,1734.56,1324.0
61,14.88,1733.81,1330.0
62,15.4,1733.17,1337.0
63,15.53,1732.88,1344.0
64,15.85,1732.42,1350.0
65,15.61,1731.56,1357.0
66,15.88,1731.1,1363.0
67,15.76,1730.52,1370.0
68,15.57,1729.81,1376.0
69,15.73,1729.45,1382.0
70,16.0,1729.25,1389.0
71,15.92,1728.56,1395.0
72,15.65,1728.01,1401.0
73,16.14,1727.68,1407.0
74,16.15,1727.09,1413.0
75,16.03,1726.55,1420.0
76,16.06,1726.05,1426.0
77,16.06,1725.29,1432.0
78,15.91,1725.25,1438.0
79,16.21,1724.81,1444.0
80,15.99,1724.24,1450.0
81,15.21,1723.79,1456.0
82,15.97,1723.58,1462.0
83,15.95,1723.44,1467.0
84,16.58,1722.95,1473.0
85,16.28,1722.8,1479.0
86,15.83,1722.34,1484.0
87,16.22,1722.03,1490.0
88,16.39,1721.88,1496.0
89,16.39,1721.53,1501.0
90,15.85,1721.18,1507.0
91,15.86,1720.65,1513.0
92,15.71,1720.5,1519.0
93,15.6,1720.35,1524.0
94,16.3,1720.13,1529.0
95,16.32,1719.64,1535.0
96,16.21,1719.48,1540.0
97,16.5,1719.0,1546.0
98,16.23,1718.98,1551.0
99,16.49,1718.59,1557.0
