epoch,training_acc,training_loss,L2
1,38.5,838.22,900.0
2,42.63,804.85,939.0
3,46.36,788.67,976.0
4,48.96,773.34,1011.0
5,52.62,761.23,1044.0
6,53.57,751.73,1077.0
7,55.38,742.47,1110.0
8,55.68,734.04,1143.0
9,58.83,726.57,1175.0
10,58.75,719.51,1207.0
11,57.84,713.07,1239.0
12,61.52,705.8,1270.0
13,62.14,699.24,1302.0
14,63.01,692.21,1334.0
15,62.56,686.75,1366.0
16,64.01,680.85,1396.0
17,62.75,675.3,1427.0
18,63.28,669.34,1457.0
19,65.99,664.18,1488.0
20,65.57,659.13,1517.0
21,64.98,654.76,1546.0
22,66.44,650.68,1574.0
23,67.03,646.77,1602.0
24,65.49,643.15,1630.0
25,66.42,639.99,1657.0
26,66.6,636.96,1683.0
27,67.12,634.12,1710.0
28,68.18,631.62,1735.0
29,68.44,630.06,1761.0
30,68.15,627.37,1786.0
31,67.28,625.4,1811.0
32,66.74,623.99,1835.0
33,68.38,622.53,1859.0
34,68.61,620.57,1882.0
35,68.45,619.58,1906.0
36,68.54,617.93,1929.0
37,68.36,616.7,1952.0
38,68.04,615.92,1974.0
39,68.26,614.36,1995.0
40,69.7,613.92,2017.0
41,69.11,612.83,2039.0
42,68.5,612.77,2060.0
43,67.96,611.73,2082.0
44,69.16,610.93,2102.0
45,68.58,610.24,2123.0
46,68.69,609.54,2143.0
47,69.49,609.34,2164.0
48,68.4,608.15,2182.0
49,68.62,608.41,2204.0
50,69.59,607.2,2222.0
51,70.27,607.7,2242.0
52,69.32,606.12,2262.0
53,69.62,606.04,2281.0
54,69.17,605.69,2300.0
55,69.29,605.4,2319.0
56,70.63,605.11,2339.0
57,70.49,604.5,2357.0
58,69.81,604.39,2376.0
59,69.94,604.05,2394.0
60,68.93,603.16,2413.0
61,68.32,602.96,2431.0
62,69.33,603.41,2450.0
63,70.03,602.7,2467.0
64,69.34,602.43,2486.0
65,69.58,602.11,2503.0
66,70.31,602.41,2522.0
67,70.06,601.85,2539.0
68,68.55,601.52,2556.0
69,70.13,601.48,2574.0
70,69.74,601.42,2591.0
71,70.84,600.57,2607.0
72,69.69,600.28,2625.0
73,69.07,600.6,2642.0
74,70.64,600.61,2661.0
75,67.09,600.19,2677.0
76,69.97,600.1,2694.0
77,69.82,599.89,2711.0
78,70.43,599.34,2727.0
79,70.53,599.62,2744.0
80,70.31,599.38,2760.0
81,69.96,599.27,2777.0
82,69.98,599.15,2793.0
83,68.66,599.0,2810.0
84,70.63,598.56,2826.0
85,69.97,598.95,2842.0
86,70.05,598.72,2859.0
87,70.27,598.74,2875.0
88,69.42,598.17,2891.0
89,70.52,597.97,2907.0
90,69.89,598.27,2923.0
91,69.6,597.94,2940.0
92,70.58,597.93,2956.0
93,69.91,597.36,2971.0
94,69.4,598.06,2987.0
95,70.21,597.93,3003.0
96,69.35,596.97,3018.0
97,70.53,597.35,3033.0
98,70.37,597.4,3049.0
99,70.48,597.5,3064.0
