epoch,training_acc,training_loss,L2
1,4.01,1794.98,852.0
2,6.01,1787.5,868.0
3,6.73,1783.12,883.0
4,7.39,1779.13,896.0
5,8.06,1776.61,907.0
6,8.38,1774.08,917.0
7,8.81,1772.95,926.0
8,8.81,1771.19,934.0
9,9.74,1769.36,943.0
10,10.02,1767.97,952.0
11,10.27,1766.17,961.0
12,10.81,1764.96,969.0
13,10.75,1763.09,978.0
14,10.64,1762.22,987.0
15,10.94,1761.18,994.0
16,11.35,1759.76,1002.0
17,11.21,1757.8,1010.0
18,11.97,1757.08,1018.0
19,11.89,1756.18,1026.0
20,11.72,1755.4,1034.0
21,12.46,1753.84,1041.0
22,11.69,1752.93,1049.0
23,13.1,1752.05,1056.0
24,13.01,1749.91,1064.0
25,13.23,1749.44,1072.0
26,13.35,1747.91,1080.0
27,13.24,1747.34,1088.0
28,13.63,1745.56,1095.0
29,13.74,1744.47,1103.0
30,13.75,1744.01,1111.0
31,13.94,1742.23,1119.0
32,14.02,1741.31,1127.0
33,14.34,1740.02,1135.0
34,14.18,1738.35,1143.0
35,15.01,1736.54,1151.0
36,14.15,1734.76,1160.0
37,14.86,1733.72,1168.0
38,15.25,1732.67,1176.0
39,14.87,1730.32,1184.0
40,15.26,1729.64,1193.0
41,15.44,1727.67,1200.0
42,15.64,1726.09,1209.0
43,15.71,1724.02,1216.0
44,15.69,1723.23,1224.0
45,15.83,1722.01,1233.0
46,15.79,1720.75,1241.0
47,16.04,1719.27,1248.0
48,16.02,1718.09,1256.0
49,16.28,1717.04,1263.0
50,16.38,1715.19,1270.0
51,16.42,1714.62,1277.0
52,16.47,1714.15,1285.0
53,16.32,1713.62,1292.0
54,16.12,1711.99,1299.0
55,16.13,1711.63,1306.0
56,16.88,1710.46,1314.0
57,16.81,1708.89,1320.0
58,16.5,1708.11,1327.0
59,16.85,1707.18,1333.0
60,16.68,1706.14,1339.0
61,16.74,1705.67,1346.0
62,16.67,1706.04,1354.0
63,16.83,1704.9,1361.0
64,16.95,1704.03,1367.0
65,16.97,1703.48,1374.0
66,16.74,1702.38,1380.0
67,17.3,1701.85,1386.0
68,16.99,1700.66,1392.0
69,16.46,1701.42,1400.0
70,16.9,1699.98,1406.0
71,17.16,1699.62,1412.0
72,17.12,1699.62,1418.0
73,17.32,1698.36,1424.0
74,17.2,1697.57,1430.0
75,17.2,1696.75,1435.0
76,17.03,1696.5,1442.0
77,17.54,1695.85,1448.0
78,17.39,1695.34,1453.0
79,17.44,1694.8,1459.0
80,17.37,1694.45,1465.0
81,17.31,1693.79,1471.0
82,17.73,1693.7,1477.0
83,17.57,1692.23,1483.0
84,16.97,1692.1,1489.0
85,18.05,1691.62,1495.0
86,17.65,1691.08,1501.0
87,17.63,1691.12,1507.0
88,17.8,1689.9,1512.0
89,17.41,1689.84,1518.0
90,17.44,1688.66,1524.0
91,17.61,1688.72,1530.0
92,17.82,1687.48,1535.0
93,17.68,1687.67,1541.0
94,17.9,1686.42,1547.0
95,18.06,1685.45,1552.0
96,17.54,1685.1,1559.0
97,17.91,1684.69,1565.0
98,17.92,1684.68,1571.0
99,17.93,1683.43,1577.0
