epoch,training_acc,training_loss,L2
1,36.09,845.02,893.0
2,40.55,813.05,931.0
3,42.74,799.67,965.0
4,46.03,787.17,999.0
5,49.38,776.25,1032.0
6,52.54,760.97,1068.0
7,51.12,750.01,1101.0
8,56.22,740.69,1133.0
9,56.42,732.6,1164.0
10,57.25,725.65,1195.0
11,57.98,719.39,1226.0
12,58.04,713.21,1256.0
13,59.9,706.68,1287.0
14,61.55,700.82,1318.0
15,62.84,695.31,1349.0
16,62.85,689.67,1379.0
17,60.84,683.88,1411.0
18,64.99,679.43,1442.0
19,63.46,673.24,1472.0
20,65.76,669.35,1502.0
21,65.78,664.34,1531.0
22,65.14,659.99,1561.0
23,64.37,655.63,1590.0
24,67.04,651.45,1619.0
25,68.08,647.77,1646.0
26,68.22,644.08,1674.0
27,66.46,640.86,1702.0
28,67.49,637.67,1728.0
29,68.87,634.58,1755.0
30,67.65,632.1,1781.0
31,68.19,630.12,1807.0
32,67.89,627.23,1832.0
33,68.81,626.24,1857.0
34,69.48,623.94,1881.0
35,67.71,622.69,1906.0
36,69.01,621.0,1929.0
37,68.76,619.65,1953.0
38,69.49,618.74,1976.0
39,70.12,616.79,1999.0
40,69.23,615.38,2021.0
41,68.89,614.64,2043.0
42,69.54,614.27,2066.0
43,70.26,612.85,2087.0
44,68.85,612.16,2109.0
45,69.63,611.78,2131.0
46,69.7,611.22,2151.0
47,69.97,610.22,2172.0
48,69.75,609.74,2193.0
49,70.37,609.05,2212.0
50,70.26,608.38,2233.0
51,70.57,608.09,2253.0
52,69.9,608.05,2274.0
53,70.38,607.51,2292.0
54,70.2,606.76,2311.0
55,69.54,606.13,2331.0
56,69.87,605.77,2351.0
57,70.67,605.29,2369.0
58,70.33,605.12,2389.0
59,69.89,604.8,2408.0
60,70.37,604.43,2427.0
61,68.98,603.95,2444.0
62,71.27,603.76,2463.0
63,70.53,603.34,2482.0
64,69.85,603.24,2499.0
65,70.81,602.74,2517.0
66,70.71,602.61,2535.0
67,70.73,602.63,2553.0
68,70.6,601.75,2571.0
69,70.57,601.8,2590.0
70,70.9,601.27,2606.0
71,71.03,601.17,2624.0
72,70.7,601.3,2641.0
73,71.46,600.52,2658.0
74,71.12,600.61,2675.0
75,71.3,600.82,2694.0
76,71.0,600.14,2711.0
77,70.36,600.19,2727.0
78,70.55,599.98,2745.0
79,71.12,599.82,2762.0
80,71.65,599.97,2779.0
81,70.96,599.46,2795.0
82,70.85,599.64,2812.0
83,71.23,599.39,2829.0
84,70.71,598.8,2844.0
85,70.67,599.01,2861.0
86,71.12,598.82,2878.0
87,71.06,598.29,2893.0
88,71.29,599.0,2910.0
89,71.5,598.48,2925.0
90,71.17,598.34,2942.0
91,71.51,597.72,2959.0
92,71.44,597.73,2974.0
93,71.42,597.99,2991.0
94,71.79,597.16,3005.0
95,71.51,597.62,3023.0
96,71.78,597.27,3037.0
97,71.41,597.08,3053.0
98,71.66,597.08,3069.0
99,71.2,596.51,3083.0
