epoch,training_acc,training_loss,L2
1,37.43,844.79,892.0
2,40.05,808.36,930.0
3,44.41,794.2,962.0
4,48.33,781.1,997.0
5,51.3,768.32,1031.0
6,53.77,757.57,1063.0
7,54.24,747.85,1096.0
8,57.39,739.53,1127.0
9,56.19,730.74,1160.0
10,59.69,723.37,1191.0
11,60.95,716.03,1224.0
12,62.34,709.5,1256.0
13,62.27,703.29,1287.0
14,62.88,697.85,1319.0
15,65.21,692.52,1350.0
16,66.42,687.26,1381.0
17,67.08,682.87,1412.0
18,66.04,677.33,1442.0
19,65.96,672.44,1473.0
20,68.1,668.31,1504.0
21,68.38,663.42,1535.0
22,69.81,659.3,1566.0
23,69.61,654.99,1596.0
24,70.21,650.4,1626.0
25,70.28,647.03,1656.0
26,71.3,643.22,1685.0
27,71.81,639.96,1714.0
28,70.69,635.88,1743.0
29,71.41,632.83,1770.0
30,71.48,629.92,1798.0
31,71.0,628.01,1825.0
32,71.4,625.32,1852.0
33,72.23,623.25,1878.0
34,72.69,621.11,1904.0
35,72.58,619.66,1930.0
36,72.84,617.98,1955.0
37,72.44,615.69,1980.0
38,72.93,614.55,2004.0
39,70.98,613.1,2028.0
40,72.88,612.27,2053.0
41,72.81,611.34,2075.0
42,72.92,610.23,2098.0
43,73.27,609.11,2121.0
44,73.7,608.11,2144.0
45,72.38,607.57,2165.0
46,73.62,606.8,2187.0
47,73.72,606.34,2210.0
48,72.31,605.13,2231.0
49,72.24,604.71,2252.0
50,73.1,604.35,2274.0
51,73.77,603.87,2294.0
52,73.1,603.34,2315.0
53,73.2,602.78,2335.0
54,71.59,602.49,2356.0
55,73.47,601.64,2374.0
56,74.1,601.41,2395.0
57,73.73,601.21,2415.0
58,73.14,600.69,2436.0
59,73.97,600.4,2454.0
60,70.17,599.86,2473.0
61,74.29,599.86,2492.0
62,70.8,599.42,2512.0
63,73.39,599.49,2530.0
64,74.38,598.96,2549.0
65,73.51,598.8,2569.0
66,72.81,598.35,2588.0
67,73.55,597.52,2604.0
68,73.83,597.65,2624.0
69,74.51,597.37,2641.0
70,73.87,597.37,2660.0
71,71.89,596.47,2678.0
72,73.1,596.67,2696.0
73,73.84,596.33,2713.0
74,73.91,596.24,2731.0
75,74.18,596.17,2749.0
76,74.95,596.06,2767.0
77,73.65,595.51,2783.0
78,74.38,595.65,2801.0
79,74.16,595.57,2819.0
80,74.57,595.31,2836.0
81,73.66,594.97,2853.0
82,74.14,595.0,2871.0
83,73.79,594.68,2886.0
84,74.36,594.77,2904.0
85,74.18,594.48,2922.0
86,74.41,594.51,2938.0
87,73.1,593.96,2956.0
88,74.32,593.82,2971.0
89,74.06,594.13,2988.0
90,74.54,594.01,3004.0
91,75.1,593.61,3020.0
92,75.15,593.79,3037.0
93,75.47,593.58,3053.0
94,74.4,593.84,3071.0
95,74.48,593.13,3087.0
96,74.83,593.41,3103.0
97,74.29,593.38,3120.0
98,74.88,592.99,3136.0
99,73.45,593.04,3152.0
